word,creole_word,creole_name,latlon,acrolect
away,lwen,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
awhile,on moman,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
awkward,gòch,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
axe,"rach , aks",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
axis,aks,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
azure,"ble,  A",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
at ease,a lèz,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
kneeling,a jenou,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
on foot,a pye,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
finally,"a la fen (alè ki le, finalman)",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
extremely,a mò,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
down with...!,aba,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
jeans,abako,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
"to abandon, abandoned",abandonnen (bandonnen),Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
to live,abite,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
habit,abitid,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
accustom to,abitwe,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
to dress,abiye,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
to abuse (take advantage),abize,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
absent,absan,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
aboard,abò,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
to approach,abòde,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
"subscription, standing order",abònman,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
"done in, drained (tired)",about,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
to arrive,abouti,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
type of fruit,abriko (zabriko),Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abscess,abse,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
absinte,absent,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
purchase,acha,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
